raw_name,n_records,cluster_id,canonical_name,cluster_size,min_internal_score,chain_risk,violates_decision
Oro Caffe,1,1036,Oro Caffe for the Singolo espresso system,2,100.0,False,False
P&F Coffee,3,1039,P&F Coffee,2,100.0,False,False
P & F Coffee,1,1039,P&F Coffee,2,100.0,False,False
Paradise Roasters,357,1057,Paradise Roasters,2,100.0,False,False
Paradise Coffee Roasters,1,1057,Paradise Roasters,2,100.0,False,False
Peerless Coffee,1,1069,Peerless Coffee and Tea,2,100.0,False,False
Peerless Coffee and Tea,1,1069,Peerless Coffee and Tea,2,100.0,False,False
Per'la Specialty Roasters,5,1074,Per'la Specialty Roasters,2,100.0,False,False
Per’la Specialty Roasters,1,1074,Per'la Specialty Roasters,2,100.0,False,False
Quartermaine Coffee Roasters,5,1117,Quartermaine Coffee Roasters,2,100.0,False,False
Quartermaine Coffee Roasters (Sam's Club),1,1117,Quartermaine Coffee Roasters,2,100.0,False,False
RamsHead Coffee Roasters,56,1131,RamsHead Coffee Roasters,2,100.0,False,False
Ramshead Coffee Roasters,4,1131,RamsHead Coffee Roasters,2,100.0,False,False
Red Rock Roasters,6,1142,Red Rock Roasters,2,100.0,False,False
Red Rock Coffee Roasters,3,1142,Red Rock Roasters,2,100.0,False,False
Reunion Island Coffee,15,1151,Reunion Island Coffee,2,100.0,False,False
Reunion Coffee Roasters,3,1151,Reunion Island Coffee,2,100.0,False,False
Roast House,9,1163,Roast House,2,100.0,False,False
Roast House Coffee,1,1163,Roast House,2,100.0,False,False
Roytawan,1,1177,Roytawan Coffee Roaster,2,100.0,False,False
Roytawan Coffee Roaster,1,1177,Roytawan Coffee Roaster,2,100.0,False,False
Rusty's Hawaiian,24,1184,Rusty's Hawaiian,2,100.0,False,False
Rusty’s Hawaiian,1,1184,Rusty's Hawaiian,2,100.0,False,False
SOT Coffee Roaster,17,1189,SOT Coffee Roaster,2,100.0,False,False
SÖT Coffee Roaster,7,1189,SOT Coffee Roaster,2,100.0,False,False
Sacred Grounds Organic Coffee,1,1191,Sacred Grounds Organic Coffee Roasters,2,100.0,False,False
Sacred Grounds Organic Coffee Roasters,1,1191,Sacred Grounds Organic Coffee Roasters,2,100.0,False,False
Salt Spring Coffee,1,1197,Salt Spring Roasting Company,2,100.0,False,False
Salt Spring Roasting Company,1,1197,Salt Spring Roasting Company,2,100.0,False,False
San Francisco Bay Coffee,16,1203,San Francisco Bay Coffee,2,100.0,False,False
San Francisco Bay Coffee (Costco),1,1203,San Francisco Bay Coffee,2,100.0,False,False
Santa Cruz Coffee Company,2,1214,Santa Cruz Coffee Company,2,100.0,False,False
Santa Cruz Coffee Roasting,1,1214,Santa Cruz Coffee Company,2,100.0,False,False
Sara Lee Coffee & Tea,1,1216,Sara Lee Coffee and Tea,2,100.0,False,False
Sara Lee Coffee and Tea,1,1216,Sara Lee Coffee and Tea,2,100.0,False,False
